iter	Passed	Remaining
0	0	82
1	1	77
2	2	74
3	2	69
4	3	68
5	4	67
6	5	66
7	5	65
8	6	64
9	7	63
10	7	63
11	8	62
12	9	61
13	9	60
14	10	59
15	11	59
16	11	58
17	12	57
18	13	57
19	14	56
20	14	55
21	15	54
22	16	54
23	16	53
24	17	52
25	18	51
26	18	51
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	36
44	29	36
45	30	35
46	30	34
47	31	33
48	31	33
49	32	32
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	43	12
77	43	12
78	44	11
79	44	11
80	44	10
81	45	9
82	45	9
83	45	8
84	46	8
85	46	7
86	46	6
87	47	6
88	47	5
89	47	5
90	48	4
91	48	4
92	48	3
93	49	3
94	49	2
95	49	2
96	50	1
97	50	1
98	50	0
99	50	0
