iter	Passed	Remaining
0	48	48854
1	49	24663
2	50	16864
3	51	12849
4	51	10346
5	52	8691
6	53	7549
7	54	6809
8	55	6109
9	55	5530
10	56	5054
11	56	4660
12	56	4326
13	57	4038
14	57	3799
15	63	3926
16	64	3714
17	64	3526
18	65	3356
19	65	3209
20	67	3135
21	67	3015
22	68	2895
23	68	2788
24	69	2693
25	69	2613
26	70	2528
27	70	2452
28	71	2381
29	71	2315
30	72	2253
31	72	2196
32	73	2144
33	76	2175
34	77	2129
35	77	2077
36	77	2029
37	78	1983
38	79	1965
39	80	1924
40	80	1885
41	80	1847
42	81	1811
43	81	1777
44	82	1744
45	82	1717
46	83	1701
47	87	1729
48	87	1705
49	88	1680
50	93	1739
51	94	1713
52	94	1690
53	95	1664
54	95	1640
55	95	1615
56	96	1592
57	96	1568
58	96	1545
59	97	1525
60	97	1503
61	98	1483
62	98	1463
63	98	1444
64	99	1438
65	100	1425
66	101	1410
67	104	1426
68	105	1418
69	105	1403
70	108	1419
71	108	1404
72	112	1423
73	113	1415
74	114	1408
75	115	1401
76	116	1391
77	116	1380
78	117	1367
79	117	1354
80	118	1342
81	124	1393
82	124	1377
83	126	1374
84	130	1404
85	132	1409
86	133	1397
87	137	1422
88	138	1418
89	139	1407
90	142	1419
91	143	1415
92	143	1402
93	144	1390
94	147	1405
95	148	1395
96	148	1384
97	153	1410
98	153	1400
99	154	1388
100	154	1378
101	158	1398
102	159	1386
103	159	1375
104	159	1363
105	160	1352
106	160	1340
107	161	1329
108	161	1319
109	161	1308
110	162	1298
111	162	1287
112	162	1277
113	163	1268
114	163	1259
115	163	1249
116	164	1239
117	164	1230
118	164	1221
119	168	1234
120	168	1226
121	169	1217
122	169	1209
123	170	1201
124	170	1192
125	171	1186
126	171	1178
127	171	1170
128	172	1162
129	172	1155
130	173	1150
131	174	1144
132	174	1137
133	174	1130
134	175	1123
135	175	1116
136	176	1109
137	177	1108
138	177	1101
139	178	1095
140	178	1088
141	179	1085
142	181	1086
143	181	1081
144	182	1075
145	183	1071
146	183	1065
147	183	1058
148	184	1053
149	184	1047
150	185	1042
151	186	1037
152	186	1033
153	187	1028
154	187	1022
155	187	1016
156	188	1010
157	188	1004
158	188	999
159	189	993
160	189	987
161	189	981
162	190	976
163	190	970
164	190	965
165	191	960
166	191	955
167	191	950
